parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,parameter_set,rental_yield,discount_rate,damage_threshold,ADDRESS,PRICE,strval,landval,elevation,LATITUDE,LONGITUDE,rent,npv_rent_to_tstar,buyout_price_uncapped,buyout_price,buyout_capped,buyout_market_100pct,buyout_savings_pct,buyout_savings_dollars,gov_rent_collected,gov_land_recovered,gov_net_cost,gov_outcome
38,Intermediate,LetItGo,42,81,42,13.63254738103031,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,42,42,0,42,42,42,42,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6701 Del Playa Dr,1759545,1009978.8300000001,749566.1699999999,8.21,34.4095765,-119.8627282,87977.25,2533699.883364933,3283266.053364933,1759545,TRUE,1759545,0,0,2533699.883364933,749566.1699999999,-1523721.053364933,profit
39,Intermediate,LetItGo,51,81,51,17.925692133300036,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,51,51,0,51,51,51,51,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6709 Del Playa Dr Unit A,1447825,831051.55,616773.45,8.16,34.4095792,-119.8630646,72391.25,2347185.3601488266,2963958.810148827,1447825,TRUE,1447825,0,0,2347185.3601488266,616773.45,-1516133.8101488266,profit
40,Intermediate,LetItGo,39,81,39,12.199792332014397,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,39,39,0,39,39,39,39,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6745-6747 Del Playa Dr,2600000,1492400,1107600,7.6,34.409459,-119.8644572,130000,3567283.278268318,4674883.278268319,2600000,TRUE,2600000,0,0,3567283.278268318,1107600,-2074883.2782683182,profit
41,Intermediate,LetItGo,1,81,1,0.6619785754673739,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6743 Del Playa Dr,2004412,1150532.488,853879.512,7.4,34.409356,-119.864426,100220.6,100220.6,954100.112,954100.112,FALSE,2004412,52.400000000000006,1050311.888,100220.6,853879.512,0,break_even
42,Intermediate,LetItGo,56,81,56,20.178966478290302,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,56,56,0,56,56,56,56,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6769 Del Playa Dr,955000,548170,406830,7.45,34.4095002,-119.8653726,47750,1631846.104191622,2038676.104191622,955000,TRUE,955000,0,0,1631846.104191622,406830,-1083676.104191622,profit
43,Intermediate,LetItGo,52,81,52,17.273004593170487,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,52,52,0,52,52,52,52,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6823 Del Playa Dr,1423368,817013.232,606354.768,7.38,34.4094728,-119.8673071,71168.40000000001,2333458.746746838,2939813.5147468382,1423368,TRUE,1423368,0,0,2333458.746746838,606354.768,-1516445.5147468382,profit
44,Intermediate,LetItGo,58,81,58,19.438323900348124,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,58,58,0,58,58,58,58,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6827 Del Playa Dr,1443682,828673.468,615008.532,7.34,34.4094892,-119.8674406,72184.1,2514037.2929942063,3129045.8249942064,1443682,TRUE,1443682,0,0,2514037.2929942063,615008.532,-1685363.8249942064,profit
45,Intermediate,LetItGo,79,81,79,39.34462052625822,safe,cliff_planned_retreat,late,FALSE,0,79,79,0,79,79,79,79,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6851 Del Playa Dr,2041350,1171734.9,869615.1,7.38,34.4096903,-119.8681638,102067.5,4116401.865914595,4986016.965914595,2041350,TRUE,2041350,0,0,4116401.865914595,869615.1,-2944666.965914595,profit
46,Intermediate,LetItGo,75,81,75,22.455134348431997,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,75,75,0,75,75,75,75,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6855 Del Playa Dr,1382709,793674.966,589034.034,7.3,34.409541,-119.86825,69135.45,2727438.8979193266,3316472.9319193265,1382709,TRUE,1382709,0,0,2727438.8979193266,589034.034,-1933763.9319193265,profit
47,Intermediate,LetItGo,61,81,61,16.85548918816727,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,61,61,0,61,61,61,61,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6865 Del Playa,1670398,958808.452,711589.548,7.24,34.4095028,-119.8686006,83519.90000000001,2986745.679178252,3698335.227178252,1670398,TRUE,1670398,0,0,2986745.679178252,711589.548,-2027937.2271782518,profit
48,Intermediate,LetItGo,56,81,56,15.520208149986424,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,56,56,0,56,56,56,56,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6877 Del Playa Dr,1456090,835795.66,620294.34,7.18,34.4095037,-119.8689513,72804.5,2488078.3181700306,3108372.6581700305,1456090,TRUE,1456090,0,0,2488078.3181700306,620294.34,-1652282.6581700305,profit
49,Intermediate,LetItGo,81,81,81,24.870191369436828,within_retreat_threshold,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6881 Del Playa Dr,895000,513730,381270,7.21,34.409594,-119.869113,44750,NA,NA,NA,NA,NA,NA,NA,NA,381270,NA,NA
50,Intermediate,LetItGo,71,81,71,19.712888055755165,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,71,71,0,71,71,71,71,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6885 Del Playa Dr,1624135,932253.49,691881.51,7.14,34.4095563,-119.8693519,81206.75,3126347.7523457436,3818229.2623457434,1624135,TRUE,1624135,0,0,3126347.7523457436,691881.51,-2194094.2623457434,profit
1,Intermediate_High,LetItGo,34,81,34,12.38946153077234,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,34,34,0,34,34,34,34,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6547 Del Playa Dr,1600000,918400,681600,14.47,34.4091315,-119.8560443,80000,1999085.0842439472,2680685.084243947,1600000,TRUE,1600000,0,0,1999085.0842439472,681600,-1080685.0842439472,profit
2,Intermediate_High,LetItGo,81,81,81,83.63046686635117,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6749 Sabado Tarde Rd,3002000,1723148,1278852,8.49,34.410106,-119.8643772,150100,NA,NA,NA,NA,NA,NA,NA,NA,1278852,NA,NA
3,Intermediate_High,LetItGo,81,81,81,71.3421093692583,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6622 Del Playa Dr,2950000,1693300,1256700,13.93,34.4099714,-119.8596841,147500,NA,NA,NA,NA,NA,NA,NA,NA,1256700,NA,NA
4,Intermediate_High,LetItGo,81,81,81,65.25849304113083,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6712 Del Playa Dr,1600000,918400,681600,9.41,34.4100074,-119.8630822,80000,NA,NA,NA,NA,NA,NA,NA,NA,681600,NA,NA
5,Intermediate_High,LetItGo,81,81,81,67.76363385015492,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6640 Del Playa Dr,1895000,1087730,807270,13.7,34.4099598,-119.8603693,94750,NA,NA,NA,NA,NA,NA,NA,NA,807270,NA,NA
6,Intermediate_High,LetItGo,81,81,81,72.98533438279915,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6766 Del Playa Dr,2125000,1219750,905250,7.91,34.4099837,-119.8651556,106250,NA,NA,NA,NA,NA,NA,NA,NA,905250,NA,NA
7,Intermediate_High,LetItGo,81,81,81,43.61914778478731,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6891 Del Playa Dr,2298000,1319052,978948,7.35,34.4097721,-119.8693567,114900,NA,NA,NA,NA,NA,NA,NA,NA,978948,NA,NA
8,Intermediate_High,LetItGo,1,81,1,5.610548296895989,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6565 Del Playa Dr,1540000,883960,656040,15.07,34.409139,-119.857151,77000,77000,733040,733040,FALSE,1540000,52.400000000000006,806960,77000,656040,0,break_even
9,Intermediate_High,LetItGo,1,81,1,6.408323993661659,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6767 Del Playa Dr,1450000,832300,617700,7.3,34.4093815,-119.8652094,72500,72500,690200,690200,FALSE,1450000,52.400000000000006,759800,72500,617700,0,break_even
10,Intermediate_High,LetItGo,31,81,31,12.432240965792156,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,31,31,0,31,31,31,31,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6697 Del Playa Dr,2650000,1521100,1128900,8.81,34.4095986,-119.8624224,132500,3100030.360508082,4228930.360508082,2650000,TRUE,2650000,0,0,3100030.360508082,1128900,-1578930.360508082,profit
11,Intermediate_High,LetItGo,28,81,28,10.613495080613488,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,28,28,0,28,28,28,28,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6587 Del Playa Dr,1410000,809340,600660,14.44,34.4093431,-119.858072,70500,1530336.2950671043,2130996.2950671045,1410000,TRUE,1410000,0,0,1530336.2950671043,600660,-720996.2950671043,profit
12,Intermediate_High,LetItGo,51,81,51,36.95890946140256,safe,cliff_planned_retreat,late,FALSE,0,51,51,0,51,51,51,51,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6595 Del Playa Dr,2500000,1435000,1065000,14.19,34.4095858,-119.8583018,125000,4052950.736706485,5117950.736706485,2500000,TRUE,2500000,0,0,4052950.736706485,1065000,-2617950.736706485,profit
13,Intermediate_High,LetItGo,62,81,62,16.927285370256303,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,62,62,0,62,62,62,62,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6533 Del Playa Dr,1292103,741667.122,550435.878,15.49,34.4090362,-119.8553824,64605.15,2329641.863630968,2880077.741630968,1292103,TRUE,1292103,0,0,2329641.863630968,550435.878,-1587974.7416309682,profit
14,Intermediate_High,LetItGo,44,81,44,13.428526308171046,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,44,44,0,44,44,44,44,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6519 Del Playa Dr,1413245,811202.63,602042.37,15.98,34.4088608,-119.8546365,70662.25,2095952.7329956526,2697995.1029956527,1413245,TRUE,1413245,0,0,2095952.7329956526,602042.37,-1284750.1029956527,profit
15,Intermediate_High,LetItGo,52,81,52,15.399011212267828,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,52,52,0,52,52,52,52,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6525 Del Playa Dr,2373500,1362389,1011111,15.77,34.4089332,-119.854919,118675,3891097.9700285653,4902208.970028565,2373500,TRUE,2373500,0,0,3891097.9700285653,1011111,-2528708.9700285653,profit
16,Intermediate_High,LetItGo,81,81,81,24.82136087522993,within_retreat_threshold,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6517 Del Playa Dr,1746722,1002618.4280000001,744103.5719999999,16.31,34.408951,-119.8545574,87336.1,NA,NA,NA,NA,NA,NA,NA,NA,744103.5719999999,NA,NA
17,Intermediate_High,LetItGo,66,81,66,18.009852763624362,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,66,66,0,66,66,66,66,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6515 Del Playa Dr,1742964,1000461.336,742502.664,16.28,34.4088722,-119.854475,87148.20000000001,3241692.1671496425,3984194.8311496424,1742964,TRUE,1742964,0,0,3241692.1671496425,742502.664,-2241230.8311496424,profit
18,Intermediate_High,LetItGo,75,81,75,19.520708391059312,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,75,75,0,75,75,75,75,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6513 Del Playa Dr,1860913,1068164.062,792748.938,16.34,34.4088681,-119.8543878,93045.65000000001,3670711.9877311485,4463460.925731149,1860913,TRUE,1860913,0,0,3670711.9877311485,792748.938,-2602547.9257311486,profit
19,Intermediate_High,LetItGo,34,81,34,12.91164170284407,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,34,34,0,34,34,34,34,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6551 Del Playa Dr,2160000,1239840,920160,13.68,34.4092064,-119.8563741,108000,2698764.863729329,3618924.863729329,2160000,TRUE,2160000,0,0,2698764.863729329,920160,-1458924.8637293288,profit
20,Intermediate_High,LetItGo,1,81,1,9.35518769552196,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6553 Del Playa Dr,1025000,588350,436650,13.85,34.4091905,-119.856455,51250,51250,487900,487900,FALSE,1025000,52.400000000000006,537100,51250,436650,0,break_even
21,Intermediate_High,LetItGo,1,81,1,5.942582042202202,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6563 Del Playa Dr,930731,534239.594,396491.406,14.77,34.409129,-119.857067,46536.55,46536.55,443027.956,443027.956,FALSE,930731,52.400000000000006,487703.044,46536.55,396491.406,0,break_even
22,Intermediate_High,LetItGo,1,81,1,5.269315090298871,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6567 Del Playa Dr,2131710,1223601.54,908108.46,15.3,34.409149,-119.857234,106585.5,106585.50000000001,1014693.96,1014693.96,FALSE,2131710,52.400000000000006,1117016.04,106585.50000000001,908108.46,0,break_even
23,Intermediate_High,LetItGo,33,81,33,12.905084114443609,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,33,33,0,33,33,33,33,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6569 Del Playa Dr,2227123,1278368.602,948754.3979999999,14.92,34.4093175,-119.857281,111356.15000000001,2724699.5629238538,3673453.960923854,2227123,TRUE,2227123,0,0,2724699.5629238538,948754.3979999999,-1446330.9609238538,profit
24,Intermediate_High,LetItGo,1,81,1,4.476292977583279,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6571 Del Playa Dr,1350000,774900,575100,15.62,34.409171,-119.857412,67500,67500,642600,642600,FALSE,1350000,52.400000000000006,707400,67500,575100,0,break_even
25,Intermediate_High,LetItGo,33,81,33,12.938071890466729,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,33,33,0,33,33,33,33,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6581 Del Playa Dr,1355540,729178.3834820775,626361.6165179225,14.62,34.4093587,-119.8578364,67777,1658390.329373726,2284751.9458916485,1355540,TRUE,1355540,0,0,1658390.329373726,626361.6165179225,-929211.9458916484,profit
26,Intermediate_High,LetItGo,42,81,42,17.108857866280935,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,42,42,0,42,42,42,42,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6583 Del Playa,2006072,1151485.328,854586.672,14.52,34.4093978,-119.8579026,100303.6,2888692.4701679456,3743279.1421679454,2006072,TRUE,2006072,0,0,2888692.4701679456,854586.672,-1737207.1421679456,profit
27,Intermediate_High,LetItGo,50,81,50,21.258722807498945,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,50,50,0,50,50,50,50,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6585 Del Playa Dr,2053162,1178514.988,874647.012,14.43,34.4094368,-119.8579727,102658.1,3290405.429714927,4165052.441714927,2053162,TRUE,2053162,0,0,3290405.429714927,874647.012,-2111890.441714927,profit
28,Intermediate_High,LetItGo,1,81,1,5.451812313301623,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6597 Del Playa Dr,1537500,882525,654975,14.41,34.4093047,-119.8584297,76875,76875,731850,731850,FALSE,1537500,52.400000000000006,805650,76875,654975,0,break_even
29,Intermediate_High,LetItGo,55,81,55,24.471321866277005,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,55,55,0,55,55,55,55,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6599 Del Playa Dr,2313923,1328191.8020000001,985731.198,14.37,34.4094806,-119.8586259,115696.15000000001,3914959.0972705535,4900690.295270554,2313923,TRUE,2313923,0,0,3914959.0972705535,985731.198,-2586767.2952705533,profit
30,Intermediate_High,LetItGo,39,81,39,15.827527259112982,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,39,39,0,39,39,39,39,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6607 Del Playa Dr,2202360,1264154.6400000001,938205.36,14.18,34.4094266,-119.8590954,110118,3021708.4618180823,3959913.821818082,2202360,TRUE,2202360,0,0,3021708.4618180823,938205.36,-1757553.8218180821,profit
31,Intermediate_High,LetItGo,1,81,1,2.4085183512379844,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6637 Del Playa Dr,1750000,1004500,745500,14.45,34.409367,-119.860061,87500,87500,833000,833000,FALSE,1750000,52.400000000000006,917000,87500,745500,0,break_even
32,Intermediate_High,LetItGo,50,81,50,20.4235630481675,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,50,50,0,50,50,50,50,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6641 Del Playa Dr,1200000,645509.5830285297,554490.4169714703,14.05,34.4095316,-119.8602419,60000,1923124.6806914955,2477615.0976629658,1200000,TRUE,1200000,0,0,1923124.6806914955,554490.4169714703,-1277615.0976629658,profit
33,Intermediate_High,LetItGo,47,81,47,18.79630699250489,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,47,47,0,47,47,47,47,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6643 Del Playa Dr,1525000,875350,649650,14.02,34.409518,-119.8603273,76250,2355538.9121871437,3005188.9121871437,1525000,TRUE,1525000,0,0,2355538.9121871437,649650,-1480188.9121871437,profit
34,Intermediate_High,LetItGo,1,81,1,4.558170300226076,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6647 Del Playa Dr,2595425,1489773.95,1105651.05,13.85,34.4093939,-119.8606651,129771.25,129771.24999999999,1235422.3,1235422.3,FALSE,2595425,52.400000000000006,1360002.7,129771.24999999999,1105651.05,0,break_even
35,Intermediate_High,LetItGo,35,81,35,13.505663179666488,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,35,35,0,35,35,35,35,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6665 Del Playa,1925919,1105477.506,820441.494,13.35,34.4095327,-119.8614173,96295.95000000001,2455411.1132120215,3275852.6072120215,1925919,TRUE,1925919,0,0,2455411.1132120215,820441.494,-1349933.6072120215,profit
36,Intermediate_High,LetItGo,41,81,41,19.147763974162455,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,41,41,0,41,41,41,41,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6707 Del Playa Dr,1430966,821374.484,609591.516,8.24,34.4096071,-119.862909,71548.3,2028786.3353601063,2638377.8513601064,1430966,TRUE,1430966,0,0,2028786.3353601063,609591.516,-1207411.8513601064,profit
37,Intermediate_High,LetItGo,34,81,34,14.222151872244996,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,34,34,0,34,34,34,34,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6705 Del Playa Dr,1129436,648296.264,481139.736,8.15,34.4095721,-119.8628186,56471.8,1411149.1632550918,1892288.8992550918,1129436,TRUE,1129436,0,0,1411149.1632550918,481139.736,-762852.8992550918,profit
38,Intermediate_High,LetItGo,33,81,33,13.63254738103031,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,33,33,0,33,33,33,33,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6701 Del Playa Dr,1759545,1009978.8300000001,749566.1699999999,8.21,34.4095765,-119.8627282,87977.25,2152656.809904461,2902222.9799044607,1759545,TRUE,1759545,0,0,2152656.809904461,749566.1699999999,-1142677.9799044607,profit
39,Intermediate_High,LetItGo,39,81,39,17.925692133300036,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,39,39,0,39,39,39,39,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6709 Del Playa Dr Unit A,1447825,831051.55,616773.45,8.16,34.4095792,-119.8630646,72391.25,1986462.2739841647,2603235.7239841647,1447825,TRUE,1447825,0,0,1986462.2739841647,616773.45,-1155410.7239841647,profit
40,Intermediate_High,LetItGo,30,81,30,12.199792332014397,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,30,30,0,30,30,30,30,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6745-6747 Del Playa Dr,2600000,1492400,1107600,7.6,34.409459,-119.8644572,130000,2969770.0060631824,4077370.0060631824,2600000,TRUE,2600000,0,0,2969770.0060631824,1107600,-1477370.0060631824,profit
41,Intermediate_High,LetItGo,1,81,1,0.6619785754673739,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6743 Del Playa Dr,2004412,1150532.488,853879.512,7.4,34.409356,-119.864426,100220.6,100220.6,954100.112,954100.112,FALSE,2004412,52.400000000000006,1050311.888,100220.6,853879.512,0,break_even
42,Intermediate_High,LetItGo,43,81,43,20.178966478290302,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,43,43,0,43,43,43,43,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6769 Del Playa Dr,955000,548170,406830,7.45,34.4095002,-119.8653726,47750,1395961.3934498725,1802791.3934498725,955000,TRUE,955000,0,0,1395961.3934498725,406830,-847791.3934498725,profit
43,Intermediate_High,LetItGo,40,81,40,17.273004593170487,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,40,40,0,40,40,40,40,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6823 Del Playa Dr,1423368,817013.232,606354.768,7.38,34.4094728,-119.8673071,71168.40000000001,1985782.6025724814,2592137.3705724813,1423368,TRUE,1423368,0,0,1985782.6025724814,606354.768,-1168769.3705724813,profit
44,Intermediate_High,LetItGo,44,81,44,19.438323900348124,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,44,44,0,44,44,44,44,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6827 Del Playa Dr,1443682,828673.468,615008.532,7.34,34.4094892,-119.8674406,72184.1,2141093.1816327884,2756101.7136327885,1443682,TRUE,1443682,0,0,2141093.1816327884,615008.532,-1312419.7136327885,profit
45,Intermediate_High,LetItGo,59,81,59,39.34462052625822,safe,cliff_planned_retreat,late,FALSE,0,59,59,0,59,59,59,59,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6851 Del Playa Dr,2041350,1171734.9,869615.1,7.38,34.4096903,-119.8681638,102067.5,3587185.4056661804,4456800.5056661805,2041350,TRUE,2041350,0,0,3587185.4056661804,869615.1,-2415450.5056661805,profit
46,Intermediate_High,LetItGo,56,81,56,22.455134348431997,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,56,56,0,56,56,56,56,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6855 Del Playa Dr,1382709,793674.966,589034.034,7.3,34.409541,-119.86825,69135.45,2362689.3140111975,2951723.3480111975,1382709,TRUE,1382709,0,0,2362689.3140111975,589034.034,-1569014.3480111975,profit
47,Intermediate_High,LetItGo,47,81,47,16.85548918816727,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,47,47,0,47,47,47,47,0,y0.05_d0.020_t0.30_LetItGo,0.05,0.02,0.3,6865 Del Playa,1670398,958808.452,711589.548,7.24,34.4095028,-119.8686006,83519.90000000001,2580122.9428456267,3291712.4908456267,1670398,TRUE,1670398,0,0,2580122.9428456267,711589.548,-1621314.4908456267,profit
